id,phase1_dps,phase2_dps,phase3_dps,FK_player_id
675,26173.27,24804.61,22128.17,Aegis.6518
676,25619.45,24860.89,24206.25,Saturo.4021
677,35422.57,19832.44,30756.61,vieikrig.1872
678,36648.48,40567.97,47405.76,agtendrn.6180
679,0.0,0.0,0.0,Mykz.5420
680,0.0,0.0,0.0,offlame.8206
681,36279.83,37300.0,40536.88,Powerfat.7294
682,16866.34,22129.2,18593.09,Nocturnal.5871
683,2151.3,2416.85,3801.03,Aothix.3624
684,34285.56,38656.94,35121.25,schaden.1879
685,29529.02,33704.75,32592.75,Yuanna.9530
686,1682.91,1882.74,1763.88,Wolfeng.3784
687,24710.52,23158.92,25737.28,morinda.6354
688,21028.04,17153.57,19174.41,ohgeez.7834
689,40114.64,41745.45,43648.09,Control.8154
690,20092.74,22087.39,27711.0,Xergrex.4397
691,31508.56,25315.5,23753.31,Sopinhas.9015
692,2131.41,4431.64,2603.31,Luckaaa.5749
693,23020.9,17255.72,24529.83,Sersch.1326
694,23568.03,23754.93,24488.72,Sonny.5720
695,23535.35,23665.58,25526.36,xTaddelx.9651
696,36221.61,40746.12,49628.42,Werner.7851
697,28057.07,27530.96,31943.28,Mikahil.8596
698,23230.28,19114.45,19383.0,Corvi.4598
699,19865.18,23959.86,29175.69,nCkron.5179
700,3043.63,2597.11,2959.78,ShadowHunter.8620
701,2875.91,2758.04,3277.19,Nika.8573
702,50306.59,52702.27,46723.4,BreKe.3069
703,28621.36,24630.5,24925.15,JoLLy.7981
704,30882.16,29390.85,30853.27,Janitsu.6284
705,44984.92,41563.88,54595.61,Westet.3068
706,22587.35,28549.54,21985.38,Teiwaz.3809
707,36758.26,36910.88,27188.18,Doc Shopper.2394
708,31073.64,25377.42,20246.47,SocialBeast.7506
709,59181.89,38857.46,37167.03,Feint.5912
710,18599.17,16815.96,15806.93,nairdat.3540
711,15773.45,16735.35,19814.26,Inoke.8793
712,14833.72,16602.0,13814.16,Lesath.4612
713,23546.59,30438.07,30027.9,MoldyOne.5407
714,1595.01,1355.26,1494.4,Oddity.2174
715,21998.84,22404.3,23528.44,Shot NZ.1269
716,1732.38,1852.96,2550.77,Taika.5863
717,26587.88,31222.06,27564.26,Darkglade.8419
718,7709.56,13608.73,11698.77,megasquid.8639
719,8205.97,8988.68,13410.85,David.7189
720,27595.34,30832.48,27796.67,Leonel.5872
721,23671.88,32260.38,30637.56,Pazu.8320
722,7636.2,7451.09,5699.98,Seiatsu.4917
723,19249.85,14834.62,15428.58,FHAEXS.3950
724,26538.12,21241.02,18557.38,raymond.6243
725,21162.34,24839.6,24617.69,Arianaxny.5374
726,20722.15,21792.09,23019.38,Lucas.4619
727,18397.71,19494.0,13917.77,Ondri.4537
728,1615.32,2554.83,2882.54,exquisitemelody.7206
729,26259.98,17811.73,21499.06,Yerula.9127
730,22707.68,19305.52,22758.1,DiegoMMXV.9350
731,20720.66,27777.19,21188.62,BigFitFckr.4301
732,3133.0,3612.5,4245.08,Asteriae.6480
733,21374.37,18404.89,17051.92,kingpringle.6571
734,14945.0,5925.31,12543.92,Pulse.8361
735,18546.06,20544.47,19862.25,Vale.3780
736,33341.69,34207.79,31768.83,Eskuva.3650
737,23793.99,20550.44,19891.5,T Bagger Vance.4293
738,4566.01,3236.75,3809.1,The Ruined.5207
739,10986.71,8630.62,0.0,frankintree.3460
740,31484.67,33284.36,37418.1,guardianspear.7912
741,2233.59,1878.29,405.0,gazzypoo.3569
742,39964.95,38829.72,3816.92,SliferAlpha.9378
743,16874.07,12711.43,9790.58,ralphdeptrai.8964
744,22253.47,21518.1,6433.65,ClearGem.2971
745,22332.16,17310.48,6438.27,YIJIN.8532
746,27774.75,20202.94,7642.5,MisterTim.7980
747,7387.01,5216.15,1450.58,Nai.4790
748,37144.32,36468.07,3621.35,Vicz.6125
749,4973.24,2647.4,839.23,Exodus.3912
750,13616.81,10933.01,15053.85,surprisedturtle.3260
751,35347.93,36536.76,38186.26,Rorek.3946
752,33304.5,34424.08,25332.22,Zaruk.7291
753,21586.28,14046.15,23611.78,Spammaps.4250
754,2828.3,4968.46,5409.89,Seu Nim Rayne.6321
